S0750,黑龙江建筑职业技术学院
S0751,牡丹江大学
S0752,伊春职业学院
S0753,黑龙江农垦职业学院
S0754,黑龙江农业职业技术学院
S0755,黑龙江林业职业技术学院
S0756,黑龙江农业工程职业学院
S0757,大庆职业学院
S0758,黑龙江农业经济职业学院
S0759,黑龙江旅游职业技术学院
S0760,大兴安岭职业学院
S0761,黑龙江职业学院
S0762,哈尔滨现代公共关系职业学院
S0763,黑龙江三江美术职业学院
S0764,黑龙江煤炭职业技术学院
S0765,黑龙江信息技术职业学院
S0766,黑龙江生态工程职业学院
S0767,七台河职业学院
S0768,黑龙江艺术职业学院
S0769,哈尔滨华夏计算机职业技术学院
S0770,黑龙江生物科技职业学院
S0771,黑龙江公安警官职业学院
S0772,黑龙江农垦科技职业学院
S0773,黑龙江商业职业学院
S0774,哈尔滨科学技术职业学院
S0775,黑龙江民族职业学院
S0776,哈尔滨铁道职业技术学院
S0777,黑龙江粮食职业学院
S0778,哈尔滨江南职业技术学院
S0779,哈尔滨应用职业技术学院
S0780,黑龙江交通职业技术学院
S0781,佳木斯职业学院
S0782,齐齐哈尔理工职业学院
S0783,哈尔滨工程技术职业学院
S0784,哈尔滨职业技术学院
S0785,哈尔滨电力职业技术学院
S0786,复旦大学
S0787,同济大学
S0788,上海交通大学
S0789,华东理工大学
S0790,东华大学
S0791,华东师范大学
S0792,上海外国语大学
S0793,上海财经大学
S0794,上海大学
S0795,上海理工大学
S0796,上海海事大学
S0797,上海工程技术大学
S0798,上海海洋大学
S0799,上海中医药大学
S0800,上海师范大学
S0801,华东政法大学
S0802,上海海关学院
S0803,上海建桥学院
S0804,上海政法学院
S0805,上海电机学院
S0806,上海第二工业大学
S0807,上海电力学院
S0808,上海应用技术学院
S0809,上海对外贸易学院
S0810,上海立信会计学院
S0811,上海金融学院
S0812,上海商学院
S0813,上海体育学院
S0814,上海音乐学院
S0815,上海戏剧学院
S0816,上海杉达学院
S0817,上海出版印刷高等专科学校
S0818,上海医疗器械高等专科学校
S0819,上海医药高等专科学校
S0820,上海旅游高等专科学校
S0821,上海公安高等专科学校
S0822,上海民航职业技术学院
S0823,上海电影艺术职业学院
S0824,上海健康职业技术学院
S0825,上海东海职业技术学院
S0826,上海新侨职业技术学院
S0827,上海工会管理职业学院
S0828,上海工艺美术职业学院
S0829,上海震旦职业学院
S0830,上海立达职业技术学院
S0831,上海中华职业技术学院
S0832,上海兴韦信息技术职业学院
S0833,上海邦德职业技术学院
S0834,上海农林职业技术学院
S0835,上海思博职业技术学院
S0836,上海欧华职业技术学院
S0837,上海民远职业技术学院
S0838,上海交通职业技术学院
S0839,上海建峰职业技术学院
S0840,上海城市管理职业技术学院
S0841,上海体育职业学院
S0842,上海电子信息职业技术学院
S0843,上海行健职业学院
S0844,上海济光职业技术学院
S0845,上海工商外国语职业学院
S0846,上海海事职业技术学院
S0847,上海科学技术职业学院
S0848,上海中侨职业技术学院
S0849,南京大学
S0850,东南大学
S0851,中国矿业大学
S0852,河海大学
S0853,江南大学
S0854,南京农业大学
S0855,中国药科大学
S0856,南京理工大学
S0857,南京航空航天大学
S0858,苏州大学
S0859,扬州大学
S0860,江苏大学
S0861,江苏科技大学
S0862,南京邮电大学
S0863,南京工业大学
S0864,常州大学
S0865,南京林业大学
S0866,南京医科大学
S0867,南京中医药大学
S0868,南京师范大学
S0869,江苏师范大学
S0870,南京财经大学
S0871,南通大学
S0872,西交利物浦大学
S0873,南京森林警察学院
S0874,南京信息工程大学
S0875,金陵科技学院
S0876,徐州工程学院
S0877,盐城工学院
S0878,淮阴工学院
S0879,常州工学院
S0880,南京工程学院
S0881,淮海工学院
S0882,徐州医学院
S0883,盐城师范学院
S0884,南京晓庄学院
S0885,苏州科技学院
S0886,江苏技术师范学院
S0887,淮阴师范学院
S0888,南京审计学院
S0889,江苏警官学院
S0890,南京体育学院
S0891,南京艺术学院
S0892,常熟理工学院
S0893,三江学院
S0894,无锡太湖学院
S0895,连云港师范高等专科学校
S0896,泰州师范高等专科学校
S0897,徐州幼儿师范高等专科学校
S0898,镇江市高等专科学校
S0899,江苏畜牧兽医职业技术学院
S0900,无锡职业技术学院
S0901,南通纺织职业技术学院
S0902,苏州工艺美术职业技术学院
S0903,南京工业职业技术学院
S0904,无锡商业职业技术学院
S0905,泰州职业技术学院
S0906,南通职业大学
S0907,连云港职业技术学院
S0908,民办明达职业技术学院
S0909,苏州职业大学
S0910,江苏城市职业学院
S0911,沙洲职业工学院
S0912,扬州市职业大学
S0913,江苏建筑职业技术学院
S0914,南通航运职业技术学院
S0915,宿迁职业技术学院
S0916,江苏信息职业技术学院
S0917,江苏农林职业技术学院
S0918,江苏食品职业技术学院
S0919,徐州工业职业技术学院
S0920,常州机电职业技术学院
S0921,常州轻工职业技术学院
S0922,南京旅游职业学院
S0923,常州工程职业技术学院
S0924,南京信息职业技术学院
S0925,苏州高博软件技术职业学院
S0926,盐城卫生职业技术学院
S0927,苏州工业职业技术学院
S0928,江阴职业技术学院
S0929,南京城市职业学院
S0930,徐州生物工程职业技术学院
S0931,苏州信息职业技术学院
S0932,南京机电职业技术学院
S0933,江苏建康职业学院
S0934,苏州卫生职业技术学院
S0935,江苏海事职业技术学院
S0936,苏州经贸职业技术学院
S0937,江苏经贸职业技术学院
S0938,南京特殊教育职业技术学院
S0939,扬州环境资源职业技术学院
S0940,金肯职业技术学院
S0941,应天职业技术学院
S0942,南京化工职业技术学院
S0943,炎黄职业技术学院
S0944,苏州农业职业技术学院
S0945,无锡工艺职业技术学院
S0946,常州纺织服装职业技术学院
S0947,紫琅职业技术学院
S0948,常州信息职业技术学院
S0949,健雄职业技术学院
S0950,江苏财经职业技术学院
S0951,盐城纺织职业技术学院
S0952,扬州工业职业技术学院
S0953,江海职业技术学院
S0954,南京铁道职业技术学院
S0955,九州职业技术学院
S0956,江苏联合职业技术学院
S0957,金山职业技术学院
S0958,无锡科技职业学院
S0959,硅湖职业技术学院
S0960,无锡城市职业技术学院
S0961,苏州托普信息职业技术学院
S0962,正德职业技术学院
S0963,江南影视艺术职业学院
S0964,南通农业职业技术学院
S0965,苏州工业园区职业技术学院
S0966,太湖创意职业技术学院
S0967,淮安信息职业技术学院
S0968,无锡南洋职业技术学院
S0969,钟山职业技术学院
S0970,南京交通职业技术学院
S0971,建东职业技术学院
S0972,南京视觉艺术职业学院
S0973,昆山登云科技职业学院
S0974,苏州港大思培科技职业学院
S0975,宿迁泽达职业技术学院
S0976,苏州工业园区服务外包职业学院
S0977,浙江大学
S0978,宁波大学
S0979,浙江工业大学
S0980,杭州电子科技大学
S0981,浙江理工大学
S0982,浙江农林大学
S0983,浙江中医药大学
S0984,浙江师范大学
S0985,杭州师范大学
S0986,浙江工商大学
S0987,宁波诺丁汉大学
S0988,温州大学
S0989,公安海警学院
S0990,宁波大红鹰学院
S0991,浙江越秀外国语学院
S0992,宁波工程学院
S0993,中国计量学院
S0994,嘉兴学院
