Raidi ,2003—,Vice-Chairman,Standing Committee of the NPC
Ren Qixing,1998—,Deputy Secretary,CPC,Autonomous Regional Committee,Ningxia Hui Autonomous Region
Ren Qixing,1998—,Chairman,Autonomous Region People's Government,Ningxia Hui Autonomous Region
Ren Qixing,1997—2002,Alternate Member,CPC,Central Committee
Ren Qixing,1993—,Member,CPC,Autonomous Regional Committee,Standing Committee,Ningxia Hui Autonomous Region
Ren Qixing,1988—1998,Vice-Chairman,Autonomous Region People's Government,Ningxia Hui Autonomous Region
Ren Qixing,,Mayor,People's Government,Ningxia Hui Autonomous Region,Shizuishan City
Ren Qixing,,Vice-Mayor,People's Government,Ningxia Hui Autonomous Region,Shizuishan City
Ren Qixing,,Deputy Division Chief,CPC,Autonomous Regional Committee,General Office,Ningxia Hui Autonomous Region
Ren Qixing,1966,Graduate,Shandong Mining Institute,Department of Coal Mining,Shandong Province
Ren Qixing,1965,Joined,CPC
Ren Rong,1982—1987,Alternate Member,CPC,Central Committee
Ren Rong,1977—1982,Member,CPC,Central Committee
Ren Rong,1973—1977,Alternate Member,CPC,Central Committee
Ren Runhou,2011—,Vice-Governor,People's Government,Shanxi Province
Ren Runhou,2001—2011,Chairman,Lu'An Group,Board of Directors
Ren Runhou,2000—2000,Deputy General Manager,Lu'An Group
Ren Runhou,2000—2008,General Manager,Lu'An Group
Ren Runhou,2000—2011,Deputy Secretary,Lu'An Group,CPC,Leading Party Group
Ren Sizhong,1977—1982,Member,CPC,Central Committee
Ren Sizhong,1973—1977,Member,CPC,Central Committee
Ren Sizhong,1969—1973,Member,CPC,Central Committee
Ren Tie,1987—1992,Alternate Member,CPC,Central Committee
Ren Wenyan,1998—2003,Member,CPPCC,National Committee,Standing Committee
Ren Wenyan,1998—,Vice-Chairman,Provincial People's Congress,Standing Committee,Shanghai Municipality
Ren Wenyan,1997—,President,Shanghai Federation of Industry and Commerce,Shanghai Municipality
Ren Xianliang,2013—,Deputy Director,Cyberspace Administration of China
Ren Xinmin,1980—,Academician,Chinese Academy of Sciences
Ren Xinmin,,Senior Technical Advisor,China Aviation Industry Corporation
Ren Xinmin,,Researcher,China Aviation Industry Corporation
Ren Xinmin,,Graduate,University of Michigan,USA,Michigan,Dearborn
Ren Xinmin,1945,Graduate,University of Michigan,USA,Michigan,Dearborn
Ren Xuefeng,2012—,Alternate Member,CPC,Central Committee
Ren Xuefeng,,Vice-Mayor,People's Government,Tianjin Municipality
Ren Xuefeng,2007—,Chairman,Hong Kong Jinlian Group Co. Ltd.
Ren Xuefeng,2004—,Secretary,Hong Kong Jinlian Group Co. Ltd.,CPC,Party Committee
Ren Xuefeng,2004—2007,Vice-Chairman,Hong Kong Jinlian Group Co. Ltd.
Ren Xuefeng,2002—2004,Deputy Director,Municipal Administrative Committee,Tianjin,New Technology Industry District
Ren Xuefeng,1995—2002,General Manager,New Technology Industry District Development Corporation,Tianjin,New Technology Industry District
Ren Xuefeng,1988—1995,Deputy General Manager,New Technology Industry District Development Corporation,Tianjin,New Technology Industry District
Ren Xuefeng,1988—1995,Engineer,Municipal Administrative Committee,Tianjin,New Technology Industry District
Ren Xuefeng,1985,Joined,CPC
Ren Yaping,2011—,Chairman,CPPCC,Autonomous Regional Committee,Inner Mongolia Autonomous Region
Ren Yaping,2009—,Deputy Secretary,CPC,Autonomous Regional Committee,Inner Mongolia Autonomous Region
Ren Yaping,2007—2012,Alternate Member,CPC,Central Committee
Ren Yaping,2006—,Vice-Chairman,Autonomous Region People's Government,Inner Mongolia Autonomous Region
Ren Yaping,1998—2008,Member,CPC,Autonomous Regional Committee,Standing Committee,Inner Mongolia Autonomous Region
Ren Yaping,1997—1998,Secretary-General,CPC,Autonomous Regional Committee,Inner Mongolia Autonomous Region
Ren Yaping,1995—1998,Student,CPC,Central Committee,Central Party School
Ren Yaping,1995—1996,Student,CPC,Provincial Committee,Party School,Youth Cadre Training Class,Beijing Municipality
Ren Yaping,1991—1994,Secretary,CPC,Autonomous City Committee,Inner Mongolia Autonomous Region,Linhe City
Ren Yaping,1987—1991,Deputy Secretary,CPC,Autonomous City Committee,Inner Mongolia Autonomous Region,Linhe City
Ren Yaping,1986—1987,Student,CPC,Central Committee,Central Party School,Beijing Municipality
Ren Yaping,1970,Joined,CPC
Ren Yuling,1998—2003,Member,CPPCC,National Committee,Standing Committee
Ren Yuling,1997—,Vice-Chairman,China Democratic National Construction Association,Autonomous Regional Committee,Guangxi Zhuang Autonomous Region
Ren Yuling,1993—1998,Member,CPPCC,National Committee
Ren Zemin,2012—,Member,CPC,Central Committee,Central Commission for Discipline Inspection
Ren Zhengfei,,President,Huawai Technology Co., Ltd.,Guangdong Province,Shenzhen City
Ren Zhengfei,1987,Established,Huawai Technology Co., Ltd.,Guangdong Province,Shenzhen City
Ren Zhengxiao,2001—,Member,State Administration of Grain,CPC,Leading Party Group
Ren Zhengxiao,2001—,Deputy Director,State Administration of Grain
Ren Zhengxiao,,Director,China Grain Research and Training Center
Ren Zhengxiao,,Secretary,Provincial Grain Administration,CPC,Leading Party Group,Hunan Province
Ren Zhengxiao,,Deputy Secretary,Provincial Grain Administration,CPC,Leading Party Group,Hunan Province
Ren Zhengxiao,,Director,Provincial Grain Administration,Hunan Province
Ren Zhengxiao,,Deputy Director,Provincial Grain Administration,Hunan Province
Ren Zhengxiao,,Deputy Magistrate,County (District) People's Court,Hunan Province,Hengnan County
Ren Zhengxiao,,Deputy Division Head,Provincial Grain Administration,General Office,Hunan Province
Ren Zhengxiao,,Deputy Manager,Hunan Provincial Grain and Edible Oil Corporation,Hunan Province
Ren Zhibin,1977—1982,Alternate Member,CPC,Central Committee
Ren Zhongyi,1982—1987,Member,CPC,Central Committee
Ren Zhongyi,1977—1982,Member,CPC,Central Committee
Renzeng Wangjie,1977—1982,Alternate Member,CPC,Central Committee
Rexiati Yinatula,,Director,Autonomous City People's Congress,Standing Committee,Xinjiang Uygur Autonomous Region,Urumqi City
Rexiati Yinatula,1995—????,Vice-Director,CPC,Autonomous City Committee,Xinjiang Uygur Autonomous Region,Urumqi City
Rexiati Yinatula,1993—????,Vice-President,Urumqi Adult Education College,Xinjiang Uygur Autonomous Region,Urumqi City
Rexiati Yinatula,1993—????,Secretary,Urumqi Adult Education College,CPC,Party Committee,Xinjiang Uygur Autonomous Region,Urumqi City
Rexiati Yinatula,1989—????,Secretary,Municipal Education Committee,CPC,Party Committee,Xinjiang Uygur Autonomous Region,Urumqi City
Rexiati Yinatula,1989—????,Deputy Head,Municipal Education Committee,Xinjiang Uygur Autonomous Region,Urumqi City
Rexiati Yinatula,1986—????,Deputy Head,CPC,Autonomous Prefectural Committee,Agricultural and Workers' Department,Inner Mongolia Autonomous Region,Bayinguoleng Prefecture
Rexiati Yinatula,1983—1985,Student,CPC,Central Committee,Central Party School
Rexiati Yinatula,1982,Joined,CPC
Rexiati Yinatula,,Dean,Bayinguoleng Agricultural School,Inner Mongolia Autonomous Region,Bayinguoleng Prefecture
Rexiati Yinatula,1973—????,Teacher,Bayinguoleng Agricultural School,Inner Mongolia Autonomous Region,Bayinguoleng Prefecture
Rexiati Yinatula,1963—????,Worker,Bayinguoleng Agricultural Science Institute,Inner Mongolia Autonomous Region,Bayinguoleng Prefecture
Rexiati Yinatula,1959,Graduate,Bayi Agricultural College,Inner Mongolia Autonomous Region
Rizi Tuerdi,1973—1977,Alternate Member,CPC,Central Committee
Rong Shixing,2003—,Member,CPPCC,National Committee
Rong Shixing,2000—,President,Central University for Nationalities,Beijing Municipality
Rong Shixing,1996—1999,President,Guangxi University for Nationalities,Guangxi Zhuang Autonomous Region
Rong Shixing,,Graduate,Guangxi University for Nationalities,Guangxi Zhuang Autonomous Region
Rong Yiren,1988—1993,Vice-Chairman,Standing Committee of the NPC
Rong Yiren,1983—1988,Vice-Chairman,Standing Committee of the NPC
Rong Yiren,1978—1983,Vice-Chairman,CPPCC,National Committee
Rouzi Tuerdi,1977—1982,Alternate Member,CPC,Central Committee
Rouzi Tuerdi,1969—1973,Alternate Member,CPC,Central Committee
Ru Xin,1992—1997,Alternate Member,CPC,Central Committee
Ruan Bosheng,1977—1982,Member,CPC,Central Committee
Ruan Bosheng,1973—1977,Alternate Member,CPC,Central Committee
Ruan Bosheng,1969—1973,Alternate Member,CPC,Central Committee
Ruan Chengfa,2017—,Governor,People's Government,Yunnan Province
Ruan Chengfa,2016—2017,Acting Governor,People's Government,Yunnan Province
Ruan Chengfa,2012—,Alternate Member,CPC,Central Committee
Ruan Chengfa,2008—2016,Mayor,People's Government,Hubei Province,Wuhan City
Ruan Chengfa,2004—2008,Vice-Governor,People's Government,Hubei Province
Ruan Chengfa,1998—2004,Mayor,People's Government,Hubei Province,Huangshi City
Ruan Chengfa,1998—2004,Deputy Secretary,CPC,City Committee,Hubei Province,Huangshi City
Ruan Chengfa,1997—1998,Secretary,CPC,City Committee,Hubei Province,Wuhan City
Ruan Chengfa,1995—1997,Secretary,CPC,Prefectural Committee,Hubei Province,Wuchang District
Ruan Chengfa,1993—1995,Deputy Secretary-General,People's Government,General Office,Hubei Province,Wuhan City
Ruan Chengfa,1992—1993,Deputy Director,People's Government,General Office,Hubei Province,Wuhan City
Ruan Chengfa,1989—1992,Graduate Student,Wuhan University,Hubei Province,Wuhan City
Ruan Chengfa,1982,Joined,CPC
Ruan Chongwu,1998—2003,Member,Standing Committee of the NPC
Ruan Chongwu,1997—2002,Delegate,CPC,National Congress
Ruan Chongwu,1993—1998,Governor,People's Government,Hainan Province
Ruan Chongwu,1992—1997,Member,CPC,Central Committee
Ruan Chongwu,1989—1993,Minister,Ministry of Labor
Ruan Chongwu,1987—1992,Member,CPC,Central Committee
Ruan Chongwu,1987—1989,Vice-Minister,State Science and Technology Commission
Ruan Chongwu,1985—1987,Minister,Ministry of Public Security
Ruan Chongwu,1983—1985,Vice-Mayor,People's Government,Shanghai Municipality
Ruan Chongwu,1982—1987,Member,CPC,Central Committee
Ruan Chongwu,1952,Joined,CPC
Ruan Keqiang,1995—,Academician,Chinese Academy of Engineering
Ruan Keqiang,1995—,Academician,Chinese Academy of Sciences
Ruan Keqiang,,Researcher,China National Nuclear Industry Corporation,China Nuclear Energy Science Research Institute
Ruan Keqiang,1950—1951,Student,Tsinghua University,Beijing Municipality
Ruan Xueyu,,Academician,Chinese Academy of Engineering
Ruan Xueyu,1953,Graduate,Jiaotong University,Mechanics Department,Shanghai Municipality
Rui Xinwen,1987—1992,Member,CPC,Central Committee
