Name,Hash_Key,Offcd,Degree,School,Major,Edu_S,Edu_E
官员姓名,搜索键,官员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
解学恭,c1af08b054f27b9c5796ae1ac5e08b8799960d01,0000002100,,,,,
金基鹏,06daa5c992e997eb72276c756c08376815601e4c,0000002109,专科,江苏省南京市立商业职业学校,,1947.07,1950.05
金基鹏,06daa5c992e997eb72276c756c08376815601e4c,0000002109,学习,中国逻辑与语言函授大学,党政,1985.00,1988.00
柯庆施,0375b2653bc86c962b7b6f26aad4f893a9cfb365,0000002156,高中,安徽省立第二中学,,,
赖若愚,53db045cecb09c6ea1d29d2271837da6d85092ab,0000002185,本科,北京大学,,,
赖若愚,53db045cecb09c6ea1d29d2271837da6d85092ab,0000002185,学习,延安中央党校,,1937.00,
李斌,556d3d82f2c48ece9a9fc10761eb2ebb79779502,0000002240,本科,吉林大学,政治经济学,1978.03,1982.01
李成玉,6f80b40f1c84ec6ffa9605a9359177eee669ce9c,0000002264,培训,中央民族学院,,1974.07,1975.07
李成玉,6f80b40f1c84ec6ffa9605a9359177eee669ce9c,0000002264,培训,中央党校,,,
李成玉,6f80b40f1c84ec6ffa9605a9359177eee669ce9c,0000002264,进修,中央党校,,1983.09,1985.08
李大章,dfa1dffb9d14e23431a9ade36e22bfac287f116d,0000002286,高中,合江中学,,,
李大章,dfa1dffb9d14e23431a9ade36e22bfac287f116d,0000002286,专科,成都留法勤工俭学预备学校,,,
李德生,1d8da2abb58ca63f46b4834a5a94ca356c7b912d,0000002294,,,,,
李登瀛,70e7b064b57191127aadae5788758e4003d02e34,0000002298,,,,,
李贵鲜,4a97d17a65b6acae44b12b88b31663bfbb4115d1,0000002346,培训,北京外国语学院,,1959.00,1960.00
李贵鲜,4a97d17a65b6acae44b12b88b31663bfbb4115d1,0000002346,培训,中国科学技术大学,,1959.00,1960.00
李贵鲜,4a97d17a65b6acae44b12b88b31663bfbb4115d1,0000002346,本科,苏联莫斯科门氏化工学院,电真空化学,1960.00,1965.00
李鸿忠,eb636270378826299f1940918a8ee574afb3a2fd,0000002382,本科,吉林大学,历史学,1978.02,1982.02
李鸿忠,eb636270378826299f1940918a8ee574afb3a2fd,0000002382,培训,中央党校,,1996.09,1997.07
李鸿忠,eb636270378826299f1940918a8ee574afb3a2fd,0000002382,学习,美国哈佛大学,政治,1997.07,
李纪恒,4be79fd56154cb8130f0e856f757790df4723de1,0000002395,本科,广西大学,文学创作,1976.11,1979.08
李纪恒,4be79fd56154cb8130f0e856f757790df4723de1,0000002395,培训,中央党校,,1995.09,1996.07
李纪恒,4be79fd56154cb8130f0e856f757790df4723de1,0000002395,研究生,中央党校,经济管理,1995.09,1998.07
李纪恒,4be79fd56154cb8130f0e856f757790df4723de1,0000002395,博士,中国社会科学院,农业经济管理,1999.09,2003.07
李嘉廷,244794c365eaf7dfe74842d16e52006b866371ec,0000002403,本科,清华大学,电机与电器制造,,1968.00
李建国,47526d6c0c3be9a5ba750ca7a6ea29454389c618,0000002408,本科,山东大学,汉语言文学,1964.00,1969.00
李锦斌,3c28a066bc9342a11cdd64e4cccf84abc76e9cc5,0000002446,学习,长春师范学院,历史,1980.07,1982.08
