Arcd ,Prvn,Pftn,Cont,Pst,Pstcd,Pstrm,Name,Hash_Key,Term,Offcd,Gender,Eth,Bthp,Bthd,Jnpdt ,,,
区域代码,省级名称,地市级名称,县级名称,职位,职位代码,职位备注,官员姓名,搜索键,任期期间,官员代码,性别,民族,籍贯,出生日期,入党时间,,,
110114,北京市,,昌平区,区长,18,,佟根柱,7f4195d4edc806a1b6f0d19ce8238467590d8b69,2001.12-2006.04,5802,男,汉族,北京顺义,1952.09,1976.12,,,
110114,北京市,,昌平区,区长,18,,关成华,893a39dae9087d95ef9f013836d406a046a58961,2006.04-2008.01,1304,男,满族,辽宁建平,1968.08,,,,
110114,北京市,,昌平区,区长,18,,金树东,23193f0fe340a1862067839b747880be0da979c0,2008.01-2013.02,10942,男,汉族,北京大兴,1961.03,,,,
110114,北京市,,昌平区,区长,18,,张燕友,a4c7e0ab5ab86c1bc734c541a0819b9bf023c2fe,2013.02-至今,17342,男,汉族,北京,1963.07,1984.12,,,
110114,北京市,,昌平区,区委书记,17,,赵凤桐,8d82d91be341c5950df18300fbe68887c4b6b32e,2001.12-2006.03,7863,男,汉族,辽宁辽阳,1954.12,,,,
110114,北京市,,昌平区,区委书记,17,,佟根柱,7f4195d4edc806a1b6f0d19ce8238467590d8b69,2006.04-2007.12,5802,男,汉族,北京顺义,1952.09,1976.12,,,
110114,北京市,,昌平区,区委书记,17,,关成华,893a39dae9087d95ef9f013836d406a046a58961,2007.12-2010.02,1304,男,满族,辽宁建平,1968.08,,,,
110114,北京市,,昌平区,区委书记,17,,侯君舒,57c02c180e6ee843045416859e11dc21bba0219b,2010.02-至今,1598,男,汉族,河南省宁陵县,1963.06,1985.07,,,
110115,北京市,,大兴区,区长,18,,郭普金,f1e066566387f76919b3b1ccd944ef8197505a40,2001.01-2003.06,9908,,汉族,北京市大兴县,1953.12,,,,
110115,北京市,,大兴区,区长,18,,王惠民,30646808c8f695d280125dccd4e40f1b983721d3,2003.06-2005.10,5994,男,汉族,,,,,,
110115,北京市,,大兴区,区长,18,,林克庆,da13d26abec63377b133f3e7deb10700c24f2065,2005.10-2008.02,3002,男,汉族,湖北仙桃,1966.1,1990.12,,,
110115,北京市,,大兴区,区长,18,,李长友,54968b66414d54347fc9faa0224a4a3d6283ec7d,2008.03-2013.02,2808,男,汉族,北京顺义,1957.09,1980.06,,,
110115,北京市,,大兴区,区长,18,,谈绪祥,579bf5d54fdf5d800268d014345de7352691c3a5,2013.02-至今,14192,男,汉族,安徽芜湖,1966.05,2004.11,,,
110115,北京市,,大兴区,区委书记,17,,牛有成,415981df383c9d2f4b24a660feadd11590153df4,2001.01-2003.01,13232,男,汉族,北京市,1955.03,1974.12,,,
110115,北京市,,大兴区,区委书记,17,,沈宝昌,0cf8aba50c82183d8789a044d994196450a3a134,2003.01-2008.02,13713,,汉族,河北省顺平,1952.04,1972.06,,,
110115,北京市,,大兴区,区委书记,17,,林克庆,da13d26abec63377b133f3e7deb10700c24f2065,2008.02-2013.01,3002,男,汉族,湖北仙桃,1966.1,1990.12,,,
110115,北京市,,大兴区,区委书记,17,,李长友,54968b66414d54347fc9faa0224a4a3d6283ec7d,2013.02-至今,2808,男,汉族,北京顺义,1957.09,1980.06,,,
110116,北京市,,怀柔区,区长,18,,戴景珠,f72843fce2906b6afb518c693ec80d54ee46455e,2001.12-2002.05,9043,,,,,,,,
110116,北京市,,怀柔区,区长,18,,张延昆,b3d6bbd447db2d4a7316b0a909c7dadeb96da1ae,2002.05-2006.10,7730,男,汉族,河南方城,1963.01,1985.04,,,
110116,北京市,,怀柔区,区长,18,,池维生,84e68fa9b2aacf76c72504254672bcad5d88093f,2006.11-2011.02,8942,男,汉族,北京市,1960.08,1981.12,,,
110116,北京市,,怀柔区,区长,18,,齐静,9a9ce87fe077e271e56714af28681e0c93f9029a,2011.02-2013.03,4131,女,汉族,安徽省无为县,1963.08,,,,
110116,北京市,,怀柔区,区长,18,,常卫,be5852a135818d09ff1831838876aae5a03dcf87,2013.03-至今,8448,男,汉族,河南偃师,1966.09,1985.12,,,
110116,北京市,,怀柔区,区委书记,17,,雷德才,1ca2126c3e687e731d78c4f3d7ad19370275c2dd,2001.12-2003.08,11104,男,汉族,,1950.09,1974.12,,,
110116,北京市,,怀柔区,区委书记,17,,王海平,285506c2333a57fad65b4273d258f570390d1609,2003.08-2011.07,6015,男,汉族,山西省运城地区芮城县,1957.04,,,,
