Nan Cewen,2000-,Professor,Tsinghua University,Materials Department,Beijing Municipality
Nan Cewen,1999-2000,Visiting Professor,Rutgers, The State University of New Jersey,USA,New Jersey,Camden
Nan Cewen,1994-1995,Visiting Professor,University of California,USA,California,Santa Barbara
Nan Cewen,1992-2000,Professor,Wuhan University of Technology,Hubei Province,Wuhan City
Nan Cewen,1990-1991,Visiting Scholar,University of New Mexico,USA,New Mexico,Albuquerque
Nan Cewen,1988-1992,Associate Professor,Wuhan University of Technology,Hubei Province,Wuhan City
Nan Cewen,1985-1992,Student,Wuhan University of Technology,Hubei Province,Wuhan City
Nan Cewen,1979-1985,Student,East China University of Science and Technology,Shanghai Municipality
Ngapoi Ngawang Jigme,1983-1988,Vice-Chairman,Standing Committee of the NPC
Ngapoi Ngawang Jigme,1981-1983,Chairman,Autonomous Regional People's Congress,Standing Committee,Tibet Autonomous Region
Ngapoi Ngawang Jigme,1981-1983,Chairman,Autonomous Region People's Government,Tibet Autonomous Region
Ngapoi Ngawang Jigme,1978-1993,Chairman,Ethnic Affairs Committee of the NPC
Ngapoi Ngawang Jigme,1978-1983,Vice-Chairman,Standing Committee of the NPC
Ngapoi Ngawang Jigme,1975-1978,Vice-Chairman,Standing Committee of the NPC
Ngapoi Ngawang Jigme,1965-1979,Chairman,Autonomous Regional People's Congress,Tibet Autonomous Region
Ngapoi Ngawang Jigme,1964-1975,Vice-Chairman,Standing Committee of the NPC
Ngapoi Ngawang Jigme,1959-1964,Deputy,NPC
Ngapoi Ngawang Jigme,1959-1964,Vice-Chairman,CPPCC,National Committee
Ngapoi Ngawang Jigme,1955-????,Lieutenant General,PLA
Ngapoi Ngawang Jigme,1954-1959,Deputy,NPC
Ngapoi Ngawang Jigme,1952-1959,1st Deputy Commander,PLA,Regions,Tibet Military District
Ngapoi Ngawang Jigme,,Member,National Defense Council
Ngapoi Ngawang Jigme,1952-1959,Secretary-General,Tibet Autonomous Region Preparatory Committee
Ngapoi Ngawang Jigme,1952-1964,Deputy Director,Tibet Autonomous Region Preparatory Committee
Ngapoi Ngawang Jigme,1952-1959,Secretary-General,PLA,Regions,Tibet Military District
Ngapoi Ngawang Jigme,1936-????,Civil Magistrate,Intermediate People's Court,Tibet Autonomous Region,Qamdo Prefecture
Ngapoi Ngawang Jigme,1936-????,Official,Autonomous Region People's Government,Tibet Autonomous Region,Qamdo Prefecture
Ni Hong,2015-,Vice-Minister,Ministry of Housing and Urban-Rural Development
Ni Runfeng,1997-2002,Alternate Member,CPC,Central Committee
Ni Runfeng,,Chairman of the Board,Changhong Electronics Corporation,Sichuan Province
Ni Runfeng,,General Manager,Changhong Electronics Corporation,Sichuan Province
Ni Runfeng,1993-1998,Deputy,NPC
Ni Runfeng,1992-1997,Delegate,CPC,National Congress
Ni Runfeng,,Joined,CPC
Ni Runfeng,,Chairman of the Board,Changhong Machinery Factory,Sichuan Province
Ni Runfeng,,General Manager,Changhong Machinery Factory,Sichuan Province
Ni Runfeng,1985-1993,Director,Changhong Machinery Factory,Sichuan Province
Ni Runfeng,1984-1985,Deputy Director,Changhong Machinery Factory,Sichuan Province
Ni Runfeng,1982,Joined,CPC
Ni Runfeng,1968-1970,Cultural Revolution,Cultural Revolution,Sent to the countryside
Ni Runfeng,1962-1967,Student,Dalian Engineering College,Machine Manufacturing Department,Liaoning Province,Dalian City
Ni Xiaoling,1993-,Researcher,Beijing Trademark and Patent Agency
Ni Xiaoling,1984-1985,Patent Examiner,State Patent Office
Ni Xiaoling,1984-1996,Director,State Patent Office,No. 5 Examination Department
Ni Yuefeng,2017-,Deputy Director,General Administration of Customs
Ni Yuefeng,2012-2017,Alternate Member,CPC,Central Committee
Ni Yuefeng,2011-2017,Vice-Governor,People's Government,Fujian Province
Ni Yuefeng,2008-2011,Member,Standing Committee of the NPC
Ni Yuefeng,2008-2011,Vice-Chairman,Environmental Protection and Resources Conservation Committee of the NPC
Ni Yuefeng,2003-2008,Member,Environmental Protection and Resources Conservation Committee of the NPC
Ni Yuefeng,2003-2008,Member,Standing Committee of the NPC
Ni Yuefeng,2000-2003,Deputy Director,State Oceanic Administration
Ni Yuefeng,2000-2003,Member,State Oceanic Administration,CPC,Leading Party Group
Ni Yuefeng,1998-1999,Director,State Oceanic Administration,Environmental Protection Department
Ni Yuefeng,1997-1998,Director,State Oceanic Administration,Science and Technology Department
Ni Yuefeng,1993-1997,Deputy Director,City Planning Committee,Shandong Province,Qingdao City
Ni Yuefeng,1993,Graduate,Tsinghua University,Beijing Municipality
Ni Yuefeng,1987,Graduate,Hefei University of Technology,Anhui Province,Hefei City
Ni Zhifu,1997-2002,Member,CPC,Central Committee
Ni Zhifu,1993-1998,Vice-Chairman,Standing Committee of the NPC
Ni Zhifu,1992-1997,Member,CPC,Central Committee
Ni Zhifu,1988-1993,Vice-Chairman,Standing Committee of the NPC
Ni Zhifu,1987-1992,Member,CPC,Central Committee
Ni Zhifu,1982-1987,Member,CPC,Central Committee
Ni Zhifu,1982-1987,Member,CPC,Central Committee,Politburo
Ni Zhifu,1979-????,Vice-Minister,State Machine-Building Industry Commission
Ni Zhifu,1977-1982,Member,CPC,Central Committee
Ni Zhifu,1977-1993,Secretary,All-China Federation of Trade Unions,CPC,Leading Party Group
Ni Zhifu,1977-1993,President,All-China Federation of Trade Unions
Ni Zhifu,1977-1982,Member,CPC,Central Committee,Politburo
Ni Zhifu,1976-1977,Second Secretary,CPC,Municipal Committee,Shanghai Municipality
Ni Zhifu,1973-1977,Member,CPC,Central Committee
Ni Zhifu,1969-1973,Member,CPC,Central Committee
Ni Zhifu,1958,Joined,CPC
Ni Zhifu,1950-1953,Apprentice,Detai Mould Plant,Shanghai Municipality
Nian Dexiang,1982-1987,Alternate Member,CPC,Central Committee
Nian Jirong,1973-1977,Member,CPC,Central Committee
Nian Jirong,1969-1973,Member,CPC,Central Committee
Nian Jirong,1958,Joined,CPC
Nie Bichu,1997-2002,Delegate,CPC,National Congress
Nie Bichu,1992-1997,Delegate,CPC,National Congress
Nie Bichu,1989-1993,Mayor,People's Government,Tianjin Municipality
Nie Bichu,1988-1993,Deputy,NPC
Nie Bichu,1987-1992,Member,CPC,Central Committee
Nie Bichu,1983-1985,Chairman,Planning Committee,Tianjin Municipality
Nie Bichu,1983-1985,Vice-Mayor,People's Government,Tianjin Municipality
Nie Bichu,1979-1983,Vice-Chairman,Planning Committee,Tianjin Municipality
Nie Bichu,1963-1965,Deputy Director,Tainjin Machine Tool Plant,Tianjin Municipality
Nie Bichu,1959,Graduate,Beiyang University,Mechanics Department,Tianjin Municipality
Nie Bichu,1951-1955,Head,CPC,Municipal Committee,Organization Department,Tianjin Municipality
Nie Bichu,1949-1951,Secretary,Beiyang University,CPC,Party Branch,Tianjin Municipality
Nie Bichu,1948,Joined,CPC
Nie Chenxi,2015-,President,China Central Television (CCTV)
Nie Chenxi,2012-2015,Deputy Director,State Administration of Radio, Film and Television
Nie Chenxi,2012-2015,Deputy Secretary,State Administration of Radio, Film and Television,CPC,Leading Party Group
Nie Chenxi,2011-2012,Vice-Governor,People's Government,Hebei Province
Nie Chenxi,2011-2012,Deputy Secretary,People's Government,CPC,Leading Party Group,Hebei Province
Nie Chenxi,2006-2012,Member,CPC,Provincial Committee,Standing Committee,Hebei Province
Nie Chenxi,2006-2011,Director,CPC,Provincial Committee,Organization Department,Hebei Province
Nie Chenxi,2004-2006,Secretary,CPC,City Committee,Hebei Province,Handan City
Nie Chenxi,2001-2004,Deputy Secretary,CPC,City Committee,Hebei Province,Handan City
Nie Chenxi,1999-2000,Student,Nanyang Technological University
Nie Chenxi,1999-2001,Director,CPC,City Committee,Organization Department,Hebei Province,Handan City
Nie Chenxi,1999-2003,Student,Tianjin University,Management College,Tianjin Municipality
Nie Chenxi,1997-1999,Deputy Director,Economics Research Center of Hebei Province
Nie Chenxi,1991-1994,Student,University of Science and Technology of China,Anhui Province,Hefei City
Nie Chenxi,1980-1987,Cadre,Statistics Bureau,Calculation Department,Hebei Province
Nie Chenxi,1977-1980,Student,Fudan University,Shanghai Municipality
Nie Dajiang,1998-2003,Member,Standing Committee of the NPC
Nie Dajiang,1993-1998,Vice-Chairman,Education, Science, Culture and Health Committee of the NPC
Nie Dajiang,1993-1998,Member,Standing Committee of the NPC
Nie Dajiang,,Deputy Head,CPC,Central Committee,Propaganda Department
Nie Dajiang,1987-1992,Delegate,CPC,National Congress
Nie Dajiang,1986-1990,Vice-Minister,Ministry of Radio, Film and Television
Nie Dajiang,,Member,CPC,Provincial Committee,Standing Committee,Gansu Province
Nie Dajiang,,Head,CPC,Provincial Committee,Propaganda Department,Gansu Province
Nie Dajiang,1982-1984,Secretary,Lanzhou University,CPC,Party Committee,Gansu Province,Lanzhou City
Nie Dajiang,1982-1986,Deputy Secretary,CPC,Provincial Committee,Gansu Province
Nie Dajiang,1982-1984,President,Lanzhou University,Gansu Province,Lanzhou City
Nie Dajiang,1977-1982,Vice-President,Lanzhou University,Gansu Province,Lanzhou City
Nie Dajiang,1959-1966,Dean,Lanzhou University,Gansu Province,Lanzhou City
Nie Dajiang,1958-1959,Teacher,Beijing University,Beijing Municipality
Nie Dajiang,1958,Graduate,Beijing University,History Department,Beijing Municipality
Nie Dajiang,1949,Joined,CPC
Nie Fengzhi,1977-1982,Member,CPC,Central Committee
Nie Fengzhi,1977-1982,Commander,PLA,Regions,Nanjing Military Region
Nie Fengzhi,1977-1982,Secretary,PLA,Regions,Nanjing Military Region,CPC,Party Committee,Standing Committee
Nie Fengzhi,1975-1977,Deputy Commander,PLA,Regions,Nanjing Military Region
Nie Fengzhi,1975-1977,Member,PLA,Regions,Nanjing Military Region,CPC,Party Committee,Standing Committee
Nie Kuiju,1988-1992,Lieutenant General,PLA,Services and Arms,Navy
Nie Kuiju,1987-1992,Member,CPC,Central Committee
Nie Kuiju,1982-1987,Alternate Member,CPC,Central Committee
Nie Kuiju,1945,Joined,CPC
Nie Kuiju,1944,Joined,PLA
Nie Li,1998-2003,Member,Standing Committee of the NPC
Nie Li,1993-,Lieutenant General,PLA
Nie Li,1993-1998,Member,Internal and Judicial Affairs Committee of the NPC
Nie Li,1993-1998,Vice-Chairman,All-China Women's Federation
Nie Li,1993-1998,Member,Standing Committee of the NPC
Nie Li,1988-1993,Deputy,NPC
Nie Li,1988-1993,Major General,PLA
Nie Li,1983-1988,Deputy,NPC
Nie Li,1982-1985,Vice-Minister,State Administration for Science, Technology and Industry for National Defense (SASTIND)
Nie Li,1950,Joined,CPC
Nie Ronggui,2003-2008,Deputy,NPC
Nie Ronggui,1997-2002,Delegate,CPC,National Congress
Nie Ronggui,1993-2003,Chairman,Sichuan Province,CPPCC,Provincial Committee
Nie Ronggui,1993-1998,Member,CPPCC,National Committee
Nie Ronggui,1990-1993,Deputy Secretary,CPC,Provincial Committee,Sichuan Province
Nie Ronggui,1987-1990,Deputy Secretary,CPC,Provincial Committee,Yunnan Province
Nie Ronggui,1983-1988,Deputy,NPC
Nie Ronggui,1983-1988,Deputy,NPC
Nie Ronggui,1982-1987,Deputy Secretary,CPC,Provincial Committee,Sichuan Province
Nie Ronggui,1982-1987,Secretary,CPC,Provincial Committee,Commission for Discipline Inspection,Sichuan Province
Nie Ronggui,1978-1983,Deputy,NPC
Nie Ronggui,1947,Joined,CPC
Nie Weiguo,2012-2017,Member,CPC,Central Committee
Nie Weiguo,2007-2012,Member,CPC,Central Committee
Nie Weiguo,2005-,Chairman,China Xinjiang Group Corporation,Board of the Directors
Nie Weiguo,2005-,Secretary,Xinjiang Production and Construction Corps,CPC,Party Committee
Nie Weiguo,2005-,Political Commissar,Xinjiang Production and Construction Corps
Nie Weiguo,2005-,Deputy Secretary,CPC,Autonomous Regional Committee,Xinjiang Uygur Autonomous Region
Nie Weiguo,2002-2005,Deputy Secretary,CPC,Municipal Committee,Chongqing Municipality
Nie Weiguo,2002-2007,Alternate Member,CPC,Central Committee
Nie Weiguo,2000-2002,Secretary,CPC,District Committee,Chongqing Municipality,Wanzhou District
Nie Weiguo,2000-2002,Member,CPC,Municipal Committee,Standing Committee,Chongqing Municipality
Nie Weiguo,1998-2000,Chairman,CPPCC,City Committee,Sichuan Province,Fuling City
Nie Weiguo,1997-2002,Alternate Member,CPC,Central Committee
Nie Weiguo,1997-2000,Secretary,CPC,City Committee,Sichuan Province,Fuling City
Nie Weiguo,1996-1997,Mayor,People's Government,Sichuan Province,Fuling City
Nie Weiguo,1996-1997,Deputy Secretary,CPC,City Committee,Sichuan Province,Fuling City
Nie Weiguo,1994-1996,Commissioner,People's Government,Prefectural Office,Sichuan Province,Fuling Prefecture
Nie Weiguo,1994-1996,Deputy Secretary,CPC,Prefectural Committee,Sichuan Province,Fuling Prefecture
Nie Weiguo,1993-1996,Student,CPC,Central Committee,Central Party School
Nie Weiguo,1987-1994,Member,CPC,Prefectural Committee,Standing Committee,Sichuan Province,Fuling Prefecture
Nie Weiguo,1983-1983,Deputy Secretary,CPC,County Committee,Chongqing Municipality,Nanchuan County
Nie Weiguo,1983-1994,Deputy Commissioner,Prefectural Administrative Office,Sichuan Province,Fuling Prefecture
Nie Weiguo,1978,Joined,CPC
Nie Weiguo,1975-1983,Technician,Nanchuan County Phosphate Fertilizer Plant,Chongqing Municipality,Nanchuan County
Nie Weiguo,1975-1983,Deputy Section Chief,Nanchuan County Phosphate Fertilizer Plant,Chongqing Municipality,Nanchuan County
Nie Weiguo,1975-1983,Deputy Director,Nanchuan County Phosphate Fertilizer Plant,Chongqing Municipality,Nanchuan County
Nie Weiguo,1975-1983,Deputy Secretary,Nanchuan County Phosphate Fertilizer Plant,CPC,Party Committee,Chongqing Municipality,Nanchuan County
Nie Weiguo,1975-1983,Director,Nanchuan County Phosphate Fertilizer Plant,Chongqing Municipality,Nanchuan County
Nie Weiguo,1975-1983,Secretary,Nanchuan County Phosphate Fertilizer Plant,CPC,Party Committee,Chongqing Municipality,Nanchuan County
Nie Weiguo,1972-1975,Student,Chongqing University,Machinery Department,Chongqing Municipality
Nie Weiguo,1971-1972,Worker,Nanchuan County Nitrogenous Fertilizer Plant,Chongqing Municipality,Nanchuan County
Nie Yuanzi,1969-1973,Alternate Member,CPC,Central Committee
Nie Yuanzi,1967-1969,Vice-Chairman,Cultural Revolution,Revolutionary Committee,Beijing Municipality
Nie Yuanzi,1964-1965,Secretary,Beijing University,Philosophy Department,CPC,Party Committee,Beijing Municipality
Nie Yuanzi,1963-1964,Vice-Dean,Beijing University,Economics Department,Beijing Municipality
Nie Yuanzi,1938,Joined,CPC
Nie Zhenbang,2000-,Director,State Administration of Grain
Nie Zhenbang,2000-,Secretary,State Administration of Grain,CPC,Leading Party Group
Nie Zhenbang,1998-2000,Deputy Director,State Grain Reserve Administration
Nie Zhenbang,1998-2000,Deputy Secretary,State Grain Reserve Administration,CPC,Leading Party Group
Ning Bin,2008-,President,Northern Jiaotong University,Beijing Municipality
Ning Bin,2004-2008,Senior Vice-President,Northern Jiaotong University,Beijing Municipality
Ning Bin,1997-2004,Vice-President,Northern Jiaotong University,Beijing Municipality
Ning Bin,1982,Graduate,Northern Jiaotong University,Beijing Municipality
Ning Gaoning,2012-2017,Member,CPC,Central Committee,Central Commission for Discipline Inspection
Ning Gaoning,2004-,Chairman of the Board,China National Cereals, Oil and Foodstuffs Import and Export Corporation
Ning Gaoning,1999-2004,Chairman of the Board,China Resources Enterprises Limited
Ning Gaoning,1999-2004,General Manager,Huarun Group Company Limited
Ning Gaoning,1990-1990,Director,China Resources Enterprises Limited
Ning Gaoning,1990-1999,General Manager,China Resources Enterprises Limited
Ning Gaoning,1987,Graduate,University of Pittsburgh,USA,Pennsylvania,Pittsburgh
Ning Gaoning,1983,Graduate,Shandong University,Shandong Province,Jinan City
Ning Jizhe,2015-,Deputy Director,National Development and Reform Commission
Ning Jizhe,2013-2015,Director,Research Office of the State Council
Ning Jizhe,2007-2013,Deputy Director,Research Office of the State Council
Ning Jizhe,2006-2007,Assistant Director,Research Office of the State Council
Ning Jizhe,2005-,Member,Research Office of the State Council,CPC,Leading Party Group
Ning Jizhe,2003-2006,Staff Member,Research Office of the State Council
Ning Jizhe,1998-2003,Staff Member,National Development and Reform Commission,Economic Research Center,State Planning Commission
Ning Jizhe,1988-2003,Team Leader,Western Region Development Office,Comprehensive Team
Ning Jizhe,1983-1998,Student,People's University of China,Beijing Municipality
Ning Jizhe,1978-1982,Student,Hefei University of Technology,Anhui Province,Hefei City
Ning Jizhe,1974-1978,Cultural Revolution,Cultural Revolution,Rusticated Youth,Anhui Province,Guangde County
Ning Jun,2004-2005,Chief Executive Officer,China Finance Online Company Limited
Ning Jun,2004-2005,Chairman of the Board,China Finance Online Company Limited
Ning Jun,1997-2004,Chief Executive Officer,Dalian Yaqi Computer Company,Liaoning Province,Dalian City
Ning Jun,1996-1997,President,Eastern Software Company
Ning Jun,1976,Joined,PLA
Niu Gang,,Chairman,Dashang Group Company
Niu Hongguang,2012-2017,Alternate Member,CPC,Central Committee
Niu Hongguang,2009-,Deputy Director,PLA,General Armaments Department
Niu Hongguang,2008-2013,Deputy,NPC
Niu Hongguang,1967-2008,Chief of Staff,PLA,General Armaments Department
Niu Maosheng,2003-2008,Member,CPPCC,National Committee,Standing Committee
Niu Maosheng,2003-2008,Chairman,CPPCC,Subcommittee of Ethnic and Religious Affairs
Niu Maosheng,2002-2007,Member,CPC,Central Committee
Niu Maosheng,1999-2002,Governor,People's Government,Hebei Province
Niu Maosheng,1998-1999,Deputy Head,State Flood Control and Drought Relief Headquarters
Niu Maosheng,1998-1999,Vice-Governor,People's Government,Hebei Province
Niu Maosheng,1998-1999,Acting Governor,People's Government,Hebei Province
Niu Maosheng,1998-2002,Deputy Secretary,CPC,Provincial Committee,Hebei Province
Niu Maosheng,1997-2002,Member,CPC,Central Committee
Niu Maosheng,1994-1994,Head,Construction Commission for Diverting Water from the South to the North Project,Leading Group
Niu Maosheng,1993-1998,Member,CPPCC,National Committee
Niu Maosheng,1993-1998,Minister,Ministry of Water Resources
Niu Maosheng,1993-1998,Deputy Head,State Flood Control and Drought Relief Headquarters
Niu Maosheng,1988-1990,Vice-Minister,Ministry of Water Resources
Niu Maosheng,1988-1990,Secretary-General,State Flood Control and Drought Relief Headquarters
Niu Maosheng,1987-1988,Director,Ministry of Water Resources,Yellow River Management Committee
Niu Maosheng,1987-1988,1st Deputy Director,Ministry of Water Resources,Yellow River Management Committee
Niu Maosheng,1985-1987,General Manager,China Water Resources Development Corp.
Niu Maosheng,1985-1987,Vice-Chairman,China Water Resources Development Corp.
Niu Maosheng,1982-1985,Secretary,CPC,County Committee,Beijing,Miyun County
Niu Maosheng,1982-1985,Member,CPC,Municipal Committee,Beijing Municipality
Niu Maosheng,1981-1982,Student,CPC,Central Committee,Central Party School
Niu Maosheng,1973-1982,Deputy Secretary,Water Conservancy Bureau,CPC,Party Committee,Beijing Municipality
Niu Maosheng,1973-1982,Deputy Director,Water Conservancy Bureau,Beijing Municipality
Niu Maosheng,1966-1973,Secretary,Bureau for Water Resources and Meteorology,General Office,Beijing Municipality
Niu Maosheng,1966-1973,Deputy Director,Bureau for Water Resources and Meteorology,General Office,Beijing Municipality
Niu Maosheng,1966-1973,Member,Bureau for Water Resources and Meteorology,CPC,Party Committee,Beijing Municipality
Niu Maosheng,1963-1965,Worker,Cultural Revolution,Rusticated Youth,Beijing Municipality
Niu Maosheng,1963-1965,Cultural Revolution,Cultural Revolution,Sent to the countryside,Beijing Municipality
Niu Maosheng,1961,Joined,CPC
Niu Maosheng,1958-1963,Student,Beijing Institute of Agricultural Mechanization,Water Conservancy and Irrigation Department,Beijing Municipality
Niu Renliang,2002-,Vice-Governor,People's Government,Shanxi Province
Niu Renliang,2000-2002,Secretary,Development and Planning Committee,CPC,Leading Party Group,Shanxi Province
Niu Renliang,2000-2002,Director,Development and Planning Committee,Shanxi Province
Niu Renliang,1999-2000,Deputy Secretary-General,CPC,Provincial Committee,Shanxi Province
Niu Renliang,1997-1999,Deputy Secretary,Nanfang Stock and Security Co., Ltd,CPC,Party Committee
Niu Renliang,1995-1997,General Manager,Nanfang Stock and Security Co., Ltd,Shenyang Branch,Liaoning Province,Shenyang City
Niu Renliang,1994-1995,General Manager,Nanfang Stock and Security Co., Ltd,Development Research Department
Niu Renliang,1985-1988,Student,Shanxi Normal University,Shanxi Province,Linfen City
Niu Renliang,1980-1985,Teacher,Shanxi Normal University,Shanxi Province,Linfen City
Niu Shaoyao,2003-2008,Deputy,NPC
Niu Shaoyao,1998-2003,Senior Vice-Governor,People's Government,Yunnan Province
Niu Shaoyao,1997-2002,Alternate Member,CPC,Central Committee
Niu Shaoyao,1995-2003,Member,CPC,Provincial Committee,Yunnan Province
Niu Shaoyao,1992-1998,Vice-Governor,People's Government,Yunnan Province
Niu Shaoyao,1989-1992,Director,Committee of Science, Technology and Industry for National Defense,Yunnan Province
Niu Shaoyao,1989-1992,Secretary,Committee of Science, Technology and Industry for National Defense,CPC,Party Committee,Yunnan Province
Niu Shaoyao,1985-1989,Deputy Director,Bureau of Electronics Industry,Yunnan Province
Niu Shaoyao,1973,Joined,CPC
Niu Shouzhang,1997-,Chairman,Zhejiang Provincial Federation of Industry and Commerce,Zhejiang Province
Niu Shouzhang,1993-,Member,All-China Federation of Industry and Commerce,Executive Committee
Niu Shouzhang,1993-1998,Member,CPPCC,National Committee
Niu Shouzhang,1988-1993,Member,CPPCC,National Committee
Niu Xiaoming,2002-2008,Vice-Chairman,Revolutionary Committee of Chinese Kuomintang (RCCK),Central Committee
Niu Xiaoming,1998-2003,Member,NPC
Niu Xiaoming,1998-,Vice-Chairman,Provincial People's Congress,Standing Committee,Sichuan Province
Niu Xiaoming,1997-2002,Vice-Chairman,Revolutionary Committee of Chinese Kuomintang (RCCK),Central Committee
Niu Xiaoming,1997-2002,Member,Revolutionary Committee of Chinese Kuomintang (RCCK),Central Committee
Niu Xiaoming,1995-1998,Deputy Director,Provincial Education Commission,Sichuan Province
Niu Xiaoming,1995,Joined,Revolutionary Committee of Chinese Kuomintang (RCCK)
Niu Xiaoming,1994-2008,Professor,Southwest Jiaotong University,Sichuan Province,Chengdu City
Niu Xiaoming,1994-2002,Vice-President,Southwest Jiaotong University,Sichuan Province,Chengdu City
Niu Xiaoming,1993-1994,Assistant to the President,Southwest Jiaotong University,Sichuan Province,Chengdu City
Niu Xiaoming,1988-1993,Vice-Dean,Southwest Jiaotong University,Electronic Engineering Department,Sichuan Province,Chengdu City
Niu Xiaoming,1987-1993,Assistant Professor,Southwest Jiaotong University,Sichuan Province,Chengdu City
Niu Youcheng,2008-,Vice-Mayor,People's Government,Beijing Municipality
Niu Youcheng,,Secretary,CPC,District Committee,Beijing,Daxing County
Niu Youcheng,,Secretary,CPC,District Committee,Beijing,Shunyi District
Niu Youcheng,,Deputy Head,CPC,District Committee,Publicity Department,Beijing,Shunyi District
