Zakir Shohrat,2014—,Acting Chairman,Autonomous Region People's Government,Xinjiang Uygur Autonomous Region
Zeng Jianhui,1982—1990,Vice-President,Xinhua News Agency
Zeng Jianhui,1948,Joined,CPC
Zeng Peiyan,2008—,Chairman,China Center for International Economic Exchanges (CCIEE)
Zeng Peiyan,2003—2008,Vice-Premier,State Council
Zeng Peiyan,2002—2007,Member,CPC,Central Committee,Politburo
Zeng Peiyan,2002—2007,Member,CPC,Central Committee
Zeng Peiyan,2001—2002,Head,Leading Group for Western China Development
Zeng Peiyan,2001—2002,Secretary,State Leading Group for Information,CPC,Leading Party Group
Zeng Peiyan,2001—2002,Director,State Leading Group for Information
Zeng Peiyan,2000—2001,Director,Leading Group for Western China Development
Zeng Peiyan,1998—2000,Deputy Director,Three Gorges Project Construction Committee
Zeng Peiyan,1998—2002,Secretary,National Development and Reform Commission,CPC,Leading Party Group
Zeng Peiyan,1997—2002,Member,CPC,Central Committee
Zeng Peiyan,1994—2003,Minister,National Development and Reform Commission
Zeng Peiyan,1993—1998,Deputy Secretary,National Development and Reform Commission,CPC,Leading Party Group
Zeng Peiyan,1992—,Deputy Secretary-General,Central Economic and Financial Leading Group
Zeng Peiyan,1992—1994,Vice-Minister,National Development and Reform Commission
Zeng Peiyan,1992—1997,Alternate Member,CPC,Central Committee
Zeng Peiyan,1991—1992,Member,China National Electronics Industrial Corporation,CPC,Leading Party Group
Zeng Peiyan,1991—1992,Deputy Secretary,Ministry of Machine-Building and Electronics Industry,CPC,Leading Party Group
Zeng Peiyan,1989,Student,CPC,Central Committee,Central Party School
Zeng Peiyan,1988—1991,Member,Ministry of Machine-Building and Electronics Industry,CPC,Leading Party Group
Zeng Peiyan,1988—1992,Vice-Minister,Ministry of Machine-Building and Electronics Industry
Zeng Peiyan,1987—1988,Member,Ministry of Electronics Industry,CPC,Leading Party Group
Zeng Peiyan,1987—1988,Vice-Minister,Ministry of Electronics Industry
Zeng Peiyan,1984—1988,Director-General,Ministry of Electronics Industry,Planning and Construction Department
Zeng Peiyan,1984—1987,Head,Ministry of Electronics Industry,Planning and Construction Department,General Office
Zeng Peiyan,1982—1984,First Secretary,Chinese Embassy,Commercial Counselor's Office,United States of America
Zeng Peiyan,1982—1984,Second Secretary,Chinese Embassy,Commercial Counselor's Office,United States of America
Zeng Peiyan,1978,Joined,CPC
Zeng Peiyan,1965—1982,Deputy Chief Engineer,First Ministry of Machine-Building Industry,Xi'an Rectifier Institute
Zeng Peiyan,1965—1982,Deputy Head,First Ministry of Machine-Building Industry,Xi'an Rectifier Institute
Zeng Peiyan,1965—1982,Group Leader,First Ministry of Machine-Building Industry,Xi'an Rectifier Institute
Zeng Peiyan,1964—1965,Group Leader,First Ministry of Machine-Building Industry,Xi'an Switch and Rectifier Factory,Rectifier Research Office
Zeng Peiyan,1964—1965,Technician,First Ministry of Machine-Building Industry,Xi'an Switch and Rectifier Factory,Rectifier Research Office
Zeng Peiyan,1962—1964,Chief,First Ministry of Machine-Building Industry,Shanghai Electrical Appliances Institute,Research Project Group
Zeng Peiyan,1962—1964,Technician,First Ministry of Machine-Building Industry,Shanghai Electrical Appliances Institute
Zeng Peiyan,1962,Graduate,Tsinghua University,Beijing Municipality
Zeng Peiyan,1956—1962,Student,Tsinghua University,Radio Engineering Department,Beijing Municipality
Zeng Qiang,,President,Shihua Development Corporation
Zeng Qiang,,Graduate,Tsinghua University,Beijing Municipality
Zeng Qingcun,,Researcher,Chinese Academy of Sciences,Institute of Atmospheric Physics
Zeng Qingcun,1995—,Academician,Third World Academy of Sciences
Zeng Qingcun,1994,Foreign Academician,Russian Academy of Science
Zeng Qingcun,1992—1997,Alternate Member,CPC,Central Committee
Zeng Qingcun,1987—1992,Alternate Member,CPC,Central Committee
Zeng Qingcun,1980—,Academician,Chinese Academy of Sciences
Zeng Qingcun,1961,Graduate,Russian Academy of Science,Russia,Moscow
Zeng Qingcun,1956,Graduate,Beijing University,Physics Department,Beijing Municipality
Zeng Qinghong,2007—2012,Secretary-General,CPC,National Congress
Zeng Qinghong,2003—2008,Vice-President,People's Government,People's Republic of China
Zeng Qinghong,2002—2007,Member,CPC,Central Committee,Politburo,Secretariat
Zeng Qinghong,2002—2007,Member,CPC,Central Committee,Politburo,Standing Committee
Zeng Qinghong,2002—2007,Member,CPC,Central Committee,Politburo
Zeng Qinghong,2002—2007,Member,CPC,Central Committee
Zeng Qinghong,1999—2002,Head,CPC,Central Committee,Organization Department
Zeng Qinghong,1997—2002,Member,CPC,Central Committee
Zeng Qinghong,1997—2002,Alternate Member,CPC,Central Committee,Politburo
Zeng Qinghong,1997—2002,Member,CPC,Central Committee,Politburo,Secretariat
Zeng Qinghong,1997—1999,Director,CPC,Central Committee,General Office
Zeng Qinghong,1997—1999,Director,CPC,Central Committee,Offices Under Central Committee,Work Committee
Zeng Qinghong,1993—1997,Secretary,CPC,Central Committee,Offices Under Central Committee,Work Committee
Zeng Qinghong,1993—1997,Director,CPC,Central Committee,General Office
Zeng Qinghong,1989—1993,Deputy Director,CPC,Central Committee,General Office
Zeng Qinghong,1989—1993,Deputy Director,CPC,Central Committee,General Office
Zeng Qinghong,1986—1989,Deputy Secretary,CPC,Municipal Committee,Shanghai Municipality
Zeng Qinghong,1984—1986,Secretary-General,CPC,Municipal Committee,Standing Committee,Shanghai Municipality
Zeng Qinghong,1984—1986,Member,CPC,Municipal Committee,Standing Committee,Shanghai Municipality
Zeng Qinghong,1984—1986,Deputy Head,CPC,Municipal Committee,Organization Department,Shanghai Municipality
Zeng Qinghong,1983—1984,Secretary,South and Yellow Seas Petroleum Corporation,CPC,Party Committee
Zeng Qinghong,1983—1984,Deputy Director,Ministry of Petroleum Industry,Foreign Affairs Bureau
Zeng Qinghong,1983—1984,Deputy Manager,China National Offshore Oil Corporation,Liaison Department
Zeng Qinghong,1982—1983,Ministry of Petroleum Industry,Ministry of Petroleum Industry,Foreign Affairs Bureau
Zeng Qinghong,1981—1982,Deputy Division Director,State Energy Commission,General Office
Zeng Qinghong,1979—1981,Secretary,National Development and Reform Commission,General Office
Zeng Qinghong,1973—1979,Technician,State Administration for Science, Technology and Industry for National Defense,Production Division,Beijing Municipality
Zeng Qinghong,1973—1979,Technician,State Administration for Science, Technology and Industry for National Defense,Science and Technology Division,Beijing Municipality
Zeng Qinghong,1970—1973,Technician,Seventh Ministry of Machine-Building Industry,Second Academy,No. 2 Department
Zeng Qinghong,1969—1970,PLA,PLA,Services and Arms,Army (or Ground Force),Xihu Production Base,Cultural Revolution,Sent to do manual labor,Hunan Province
Zeng Qinghong,1969—1970,PLA,PLA,Services and Arms,Army (or Ground Force),Chikan Base,Cultural Revolution,Sent to do manual labor
Zeng Qinghong,1965—1969,Technician,Seventh Ministry of Machine-Building Industry,Second Academy,No. 2 Department,No. 6 Office
Zeng Qinghong,1963—1965,Technician,PLA,Services and Arms,Group Army,No. 743 Army Unit
Zeng Qinghong,1960,Joined,CPC
Zeng Qinghong,1958—1963,Student,Beijing Institute of Technology,Automatic Control Department
Zeng Shan,1969—1973,Member,CPC,Central Committee
Zeng Shan,1956—1969,Member,CPC,Central Committee
Zeng Shaoshan,1977—1982,Member,CPC,Central Committee
Zeng Shaoshan,1973—1977,Member,CPC,Central Committee
Zeng Shaoshan,1969—1973,Member,CPC,Central Committee
Zeng Siyu,1977—1982,Member,CPC,Central Committee
Zeng Siyu,1969—1973,Member,CPC,Central Committee
Zeng Wanming,2013—,Vice-Chairman,Autonomous Region People's Government,Tibet Autonomous Region
Zeng Wanming,2011—2013,Secretary,CPC,City Committee,Sichuan Province,Neijiang City
Zeng Wanming,2009—2011,Mayor,People's Government,Sichuan Province,Mianyang City
Zeng Wanming,2008—2009,Acting Mayor,People's Government,Sichuan Province,Mianyang City
Zeng Wanming,2008—2011,Deputy Secretary,CPC,City Committee,Sichuan Province,Mianyang City
Zeng Wanming,2007—2008,Member,CPC,City Committee,Standing Committee,Sichuan Province,Chengdu City
Zeng Wanming,2005—2008,Vice-Mayor,People's Government,Sichuan Province,Chengdu City
Zeng Wanming,2002—2002,Mayor,People's Government,Sichuan Province,Pengzhou City
Zeng Wanming,2002—2005,Secretary,CPC,County Committee,Sichuan Province,Dayi County
Zeng Wanming,2001—2002,Acting Mayor,People's Government,Sichuan Province,Pengzhou City
Zeng Wanming,2001—2002,Vice-Mayor,People's Government,Sichuan Province,Pengzhou City
Zeng Wanming,2001—2002,Deputy Secretary,CPC,City Committee,Sichuan Province,Pengzhou City
Zeng Wanming,1996—2001,Deputy Magistrate,County (District) People's Court,Sichuan Province,Xindu County
Zeng Wanming,1993—1996,Deputy Director,CPC,County Committee,Policy Research Office,Sichuan Province,Xindu County
Zeng Wanming,1990—1993,Secretary,CPC,County Committee,Policy Research Office,Sichuan Province,Xindu County
Zeng Wanming,1988—1990,Staff Member,CPC,County Committee,Policy Research Office,Sichuan Province,Xindu County
Zeng Xianlin,1998—2003,Member,Standing Committee of the NPC
Zeng Xianlin,1992—1997,Alternate Member,CPC,Central Committee
Zeng Xianlin,1987—1992,Alternate Member,CPC,Central Committee
Zeng Xianlin,1987—????,Minister,Ministry of Light Industry
Zeng Xianlin,1947,Joined,CPC
Zeng Xin,2014—,Vice-Governor,People's Government,Hubei Province
Zeng Xisheng,1956—1969,Member,CPC,Central Committee
Zeng Yi,,Dean,China Academy of Preventive Medical Sciences
Zeng Yi,,Researcher,China Academy of Preventive Medical Sciences
Zeng Yi,1993—,Foreign Academician,Russian Academy of Medical Sciences,Russia,Moscow
Zeng Yi,1993—,Academician,Chinese Academy of Sciences
Zeng Yi,1952,Graduate,Shanghai Medical College,Medical Department,Shanghai Municipality
Zeng Yichun,2015—,Vice-Chairman,Autonomous Region People's Government,Ningxia Hui Autonomous Region
Zeng Yixin,2017—,Deputy Director,National Health and Family Planning Commission
Zeng Yongya,1969—1973,Alternate Member,CPC,Central Committee
Zeng Yusi,1973—1977,Member,CPC,Central Committee
Zha Liqun,2004—,Vice-Chairman,Song Qingling Foundation
Zha Liqun,2002—2004,Member,Song Qingling Foundation,CPC,Leading Party Group
Zha Liqun,2002—2004,Deputy Secretary,Chinese Overseas Fraternity,CPC,Leading Party Group
Zha Liqun,1996—2004,Deputy Secretary-General,Chinese Overseas Fraternity
Zha Liqun,1996—2002,Assistant Commissioner,CPC,Central Committee,United Front Work Department
Zha Liqun,1991—1996,Vice-Mayor,People's Government,Liaoning Province,Hulutao City
Zha Liqun,1990—1991,Vice-Minister,National Student Federation,Youth Corps Central Committee
Zha Liqun,1988—1989,Vice-Mayor,People's Government,Liaoning Province,Wafangdian City
Zha Liqun,1978—1988,Clerk,CYLC,Central Committee,Propaganda Department
Zha Liqun,1970—1978,Deputy Secretary,CPC,County Committee,Sichuan Province,An County
Zha Liqun,1970—1978,Clerk,CPC,County Committee,Sichuan Province,An County
Zha Peixin,2002—,Ambassador,Chinese Embassy,Ireland,Dublin
Zha Peixin,2002—,Ambassador,Chinese Embassy,United Kingdom,London
Zha Peixin,1998—2002,Deputy Director,CPC,Central Committee,Central Foreign Affairs Office
Zha Peixin,1996—1998,Ambassador,Chinese Embassy,Canada,Ottawa
Zha Peixin,1993—1996,Department Chief,Foreign Affairs Office of the State Council
Zha Peixin,1993—1996,Deputy Department Chief,Foreign Affairs Office of the State Council
Zha Peixin,1990—1993,Counselor,Chinese Embassy,Canada,Ottawa
Zha Peixin,1978—1990,Deputy Department Chief,Ministry of Foreign Affairs,North American and Oceania Affairs Department
Zha Peixin,1978—1990,Deputy Division Chief,Ministry of Foreign Affairs,North American and Oceania Affairs Department
Zha Peixin,1978—1990,Staff Member,Ministry of Foreign Affairs,North American and Oceania Affairs Department
Zha Peixin,1973—1978,Attach,Chinese Embassy,Liaison Office,USA,Washington D.C.
Zha Peixin,1972—1973,Staff Member,United Nations,Chinese Delegation
Zha Quanxing,1980—,Academician,Chinese Academy of Sciences
Zha Quanxing,,Professor,Wuhan University,Hubei Province,Wuhan City
Zha Quanxing,1950,Graduate,Wuhan University,Chemistry Department,Hubei Province,Wuhan City
Zhai Haohui,2000—,Vice-Minister,Ministry of Water Resources
Zhai Haohui,2000—,Member,Ministry of Water Resources,CPC,Leading Party Group
Zhai Haohui,1995—2000,Secretary,Water Resources Department,CPC,Leading Party Group,Jiangsu Province
Zhai Haohui,1995—2000,Director,Water Resources Department,Jiangsu Province
Zhai Haohui,1990—????,Member,Committee for Harnessing Huaihe River,CPC,Leading Party Group,Jiangsu Province
Zhai Haohui,1990—????,Deputy Director,Committee for Harnessing Huaihe River,Jiangsu Province
Zhai Haohui,1988—1990,Director,Water Resources Bureau,Jiangsu Province,Yangzhou City
Zhai Haohui,1988—1990,Secretary,Water Resources Bureau,CPC,Leading Party Group,Jiangsu Province,Yangzhou City
Zhai Haohui,1984—1988,Deputy Secretary,Water Resources Bureau,CPC,Leading Party Group,Jiangsu Province,Yangzhou City
Zhai Haohui,1984—1988,Deputy Director,Water Resources Bureau,Jiangsu Province,Yangzhou City
Zhai Haohui,,Director,Water Resources Bureau,Jiangsu Province
Zhai Haohui,1977,Joined,CPC
Zhai Haohui,,Deputy Director,Water Resources Bureau,Jiangsu Province
Zhai Haohui,1970—1973,Technician,Hydroelectric Power Bureau,Jiangsu Province,Dafeng County
Zhai Haohui,,Graduate,East China Institute of Water Conservancy,Hydrography and Port Hydraulic Structure Department
Zhai Hongxiang,,Vice-Mayor,People's Government,Beijing Municipality
Zhai Hongxiang,,Member,CPC,Municipal Committee,Standing Committee,Beijing Municipality
Zhai Hongxiang,,Director-General,Taxation Bureau,Beijing Municipality
Zhai Hongxiang,,Secretary,Taxation Bureau,CPC,Leading Party Group,Beijing Municipality
Zhai Hongxiang,,Secretary,Municipal Audit Bureau,CPC,Leading Party Group,Beijing Municipality
Zhai Hongxiang,,Director-General,Municipal Audit Bureau,Beijing Municipality
Zhai Hongxiang,,Deputy Secretary,Municipal Audit Bureau,CPC,Leading Party Group,Beijing Municipality
Zhai Hongxiang,,Deputy Director-General,Municipal Audit Bureau,Beijing Municipality
Zhai Hongxiang,1970,Joined,CPC
Zhai Huqu,2007—2012,Alternate Member,CPC,Central Committee
Zhai Huqu,2002—2007,Alternate Member,CPC,Central Committee
Zhai Huqu,2001—,President,Chinese Academy of Agricultural Sciences
Zhai Huqu,2001—,Secretary,Chinese Academy of Agricultural Sciences,CPC,Leading Party Group
Zhai Huqu,1999—2000,Student,CPC,Central Committee,Central Party School
Zhai Huqu,1995—2001,Deputy Secretary,Nanjing Agricultural University,CPC,Party Committee,Jiangsu Province,Nanjing City
Zhai Huqu,1995—2001,President,Nanjing Agricultural University,Jiangsu Province,Nanjing City
Zhai Huqu,1994—1995,Vice-President,Nanjing Agricultural University,Jiangsu Province,Nanjing City
Zhai Huqu,1993—1995,Director,Nanjing Agricultural University,Advanced Education Department,Jiangsu Province,Nanjing City
Zhai Huqu,1988—1993,Deputy Director,Nanjing Agricultural University,Agricultural Department,Jiangsu Province,Nanjing City
Zhai Huqu,1987—1988,Teacher,Nanjing Agricultural University,Jiangsu Province,Nanjing City
Zhai Huqu,1984—1987,Student,The University of Birmingham,Genetics Department,United Kingdom,Birmingham
Zhai Huqu,1982—1984,Teacher,Nanjing Agricultural University,Jiangsu Province,Nanjing City
Zhai Huqu,1978—1982,Student,Nanjing Agricultural University,Jiangsu Province,Nanjing City
Zhai Huqu,1977—1978,Teacher,Jiangsu Agricultural Institute,Jiangsu Province
Zhai Huqu,1973—1977,Student,Jiangsu Agricultural Institute,Jiangsu Province
Zhai Huqu,1973—1973,Worker,Huangying Commune,Jiangsu Province,Lianshui County
Zhai Huqu,1971,Joined,CPC
Zhai Huqu,1969—1973,Soldier,PLA,Services and Arms,Air Force
Zhai Huqu,1969,Joined,PLA
Zhai Jun,2010—,Vice-Minister,Ministry of Foreign Affairs
Zhai Jun,2006—2010,Assistant Minister,Ministry of Foreign Affairs
Zhai Jun,2003—2006,Director-General,Ministry of Foreign Affairs,West Asian and North African Affairs Department
Zhai Jun,2001—2003,Director-General,Ministry of Foreign Affairs,Chinese Diplomatic Missions Abroad Department
Zhai Jun,2000—2001,Member,CPC,City Committee,Standing Committee,Jiangsu Province,Zhenjiang City
Zhai Jun,2000—2000,Deputy Director-General,Ministry of Foreign Affairs,West Asian and North African Affairs Department
Zhai Jun,1997—2000,Ambassador,Chinese Embassy,Libya,Tripoli
Zhai Jun,1996—1997,Counselor,Ministry of Foreign Affairs,West Asian and North African Affairs Department
Zhai Jun,1992—1996,First Secretary,Chinese Embassy,Saudi Arabia,Riyadh
Zhai Jun,1985—1992,Third Secretary,Ministry of Foreign Affairs,West Asian and North African Affairs Department
Zhai Jun,1980—1985,Third Secretary,Chinese Embassy,Yemen,Sanaa
Zhai Jun,1975—1980,Staff Member,Ministry of Foreign Affairs,Translation and Interpretation Department
Zhai Taifeng,1998—2003,Member,CPPCC,National Committee,Standing Committee
Zhai Taifeng,1997—2002,Delegate,CPC,National Congress
Zhai Taifeng,1996—,Vice-President,Chinese Writers Association
Zhai Taifeng,1949,Joined,CPC
Zhai Yusheng,1999—,Academician,Chinese Academy of Sciences
Zhai Yusheng,,Professor,China University of Geosciences
Zhai Yusheng,1957,Graduate,Changchun University of Earth Sciences,Jilin Province,Changchun City
Zhai Yusheng,1952,Graduate,Beijing University,Geology Department,Beijing Municipality
Zhai Zhonghe,1991—,Academician,Chinese Academy of Sciences
Zhai Zhonghe,,Professor,Beijing University,Biology Department,Beijing Municipality
Zhai Zhonghe,1956,Graduate,St. Petersburg State University,Russia,St. Petersburg
Zhan Wenlong,2012—,Alternate Member,CPC,Central Committee
Zhan Wenlong,2008—,Vice-President,Chinese Academy of Sciences,Beijing Municipality
Zhan Wenlong,2007—2012,Alternate Member,CPC,Central Committee
Zhan Wenlong,1991—1993,Visiting Scientist,Columbia University,USA,New York,New York
Zhan Wenlong,1982,Graduate,Lanzhou University,Physics Department,Gansu Province,Lanzhou City
Zhan Wenlong,1982—2007,Director,Chinese Academy of Sciences,Modern Physics Research Institute,Gansu Province,Lanzhou City
Zhan Wenlong,1982—2007,Deputy Director,Chinese Academy of Sciences,Modern Physics Research Institute,Gansu Province,Lanzhou City
Zhan Yong,2001—,Vice-President,Hebei University of Technology,Hebei Province
Zhan Yong,1995—1996,Deputy Chief,Hebei University of Technology,Physics Teaching College,Hebei Province
Zhan Yong,1995—1998,Graduate,China Atomic Energy Scientific Research Institute
Zhan Yong,1992,Joined,CPC
Zhan Yong,1990—1991,Student,Tianjin University,Physics Department,Tianjin Municipality
Zhang Aiping,1982—1987,Member,CPC,Central Committee
Zhang Aiping,1977—1982,Member,CPC,Central Committee
Zhang Bai,1997—,Deputy Director,State Administration of Cultural Heritage
Zhang Bai,1997—,Member,State Administration of Cultural Heritage,CPC,Leading Party Group
Zhang Bai,1990—1997,Deputy Director,State Bureau of Cultural Relics
Zhang Bai,1975,Graduate,Beijing University,History Department,Beijing Municipality
Zhang Bai,1969,Joined,CPC
Zhang Baoming,2003—,Member,CPPCC,National Committee,Standing Committee
Zhang Baoming,2000—2003,Director,State Administration for Safe Production Supervision
Zhang Baoming,1998—2001,Director,State Mining Industry Bureau
Zhang Baoming,1997—2002,Alternate Member,CPC,Central Committee
Zhang Baoming,1993—1998,Vice-Minister,Ministry of Coal Industry
Zhang Baoming,1986—1988,Vice-Minister,Ministry of Coal Industry
Zhang Baoming,1982—1986,Chief,Mining Bureau,Liaoning Province,Fuxin City
Zhang Baoming,1974,Joined,CPC
Zhang Baoming,1963—1979,Deputy Section Chief,Mining Bureau,Technical Department,Liaoning Province,Fuxin City
Zhang Baoming,1959—1963,Student,Fuxin Mining College,Liaoning Province,Fuxin City
Zhang Baoqing,1998—2005,Vice-Minister,Ministry of Education
Zhang Baoqing,1996—1998,Vice-Minister,State Education Commission
Zhang Baoshun,2012—,Member,CPC,Central Committee
Zhang Baoshun,2011—,Director,Provincial People's Congress,Standing Committee,Anhui Province
Zhang Baoshun,2010—2015,Secretary,CPC,Provincial Committee,Anhui Province
Zhang Baoshun,2010—2015,Member,CPC,Provincial Committee,Anhui Province
Zhang Baoshun,2010—2015,Member,CPC,Provincial Committee,Standing Committee,Anhui Province
Zhang Baoshun,2007—2012,Member,CPC,Central Committee
Zhang Baoshun,2005—2010,Secretary,CPC,Provincial Committee,Shanxi Province
Zhang Baoshun,2004—2005,Governor,People's Government,Shanxi Province
Zhang Baoshun,2004—2004,Acting Governor,People's Government,Shanxi Province
Zhang Baoshun,2004—2004,Vice-Governor,People's Government,Shanxi Province
Zhang Baoshun,2002—2007,Alternate Member,CPC,Central Committee
Zhang Baoshun,2001—2010,Member,CPC,Provincial Committee,Standing Committee,Shanxi Province
Zhang Baoshun,2001—2004,Deputy Secretary,CPC,Provincial Committee,Shanxi Province
Zhang Baoshun,1998—2001,Secretary,Xinhua News Agency,CPC,Leading Party Group
Zhang Baoshun,1998—2003,Member,CPPCC,National Committee,Subcommittee for Handling Proposals
Zhang Baoshun,1993—1998,Member,CPPCC,National Committee,Standing Committee
Zhang Baoshun,1993—2001,Vice-President,Xinhua News Agency
Zhang Baoshun,1993—1998,Member,Xinhua News Agency,CPC,Leading Party Group
Zhang Baoshun,1992—1997,Member,CPC,Central Committee,Central Commission for Discipline Inspection
Zhang Baoshun,1991—1993,Chairman,All-China Youth Federation
Zhang Baoshun,1985—1991,Secretary,CYLC,Central Committee,Secretariat
Zhang Baoshun,1985—1991,Chairman,China Young Entrepreneurs Association
Zhang Baoshun,1985—1991,Member,CYLC,Central Committee,Secretariat
Zhang Baoshun,1982—1985,Director,CYLC,Central Committee,Youth Work Department
Zhang Baoshun,1982—1987,Student,Renmin University of China,Beijing Municipality
Zhang Baoshun,1979—1982,Deputy Director,CYLC,Central Committee,Youth Work Department
Zhang Baoshun,1975—1978,Deputy Secretary,Port Administration Bureau,CPC,Party Committee,Hebei Province,Qinhuangdao City
Zhang Baoshun,1973—1975,Secretary,Port Administration Bureau,CYLC,Institutional Level,Hebei Province,Qinhuangdao City
Zhang Baoshun,1971—1973,Secretary,Port Administration Bureau,CPC,Party Committee,Hebei Province,Qinhuangdao City
Zhang Baoshun,1971,Joined,CPC
Zhang Baoshun,1968—1971,Worker,Port Administration Bureau,Hebei Province,Qinhuangdao City
Zhang Baowen,2013—,Vice-Chairman,Standing Committee of the NPC
Zhang Baowen,2000—,Vice-Minister,Ministry of Agriculture
Zhang Baowen,1998—2003,Deputy Secretary-General,CPPCC,National Committee
Zhang Baowen,1998—2003,Member,CPPCC,National Committee,Standing Committee
Zhang Benren,1999—,Academician,Chinese Academy of Sciences
Zhang Benren,,Professor,China University of Geosciences
Zhang Benren,1956,Postgraduate Student,Peking College of Geoscience,Beijing Municipality
Zhang Benren,1952,Graduate,Nanjing University,Geology Department,Jiangsu Province,Nanjing City
