Arcd ,Prvn,Pftn,Cont,Pst,Pstcd,Pstrm,Name,Term,Offcd,Gender,Eth,Bthp,Bthd,Jnpdt ,,,
区域代码,省级名称,地市级名称,县级名称,职位,职位代码,职位备注,官员姓名,任期期间,官员代码,性别,民族,籍贯,出生日期,入党时间,,,
110111,北京市,,房山区,区长,18,,曾赞荣,2015.01-至今,225,男,汉族,湖南邵东,1969.08,1987.1,,,
110111,北京市,,房山区,区委书记,17,,王凤江,,5920,,,,,,,,
110111,北京市,,房山区,区委书记,17,,王作升,1987.01-1989.03,15174,,,,,,,,
110111,北京市,,房山区,区委书记,17,,邵干坤,1989.03—1993.10,13685,,,,,,,,
110111,北京市,,房山区,区委书记,17,,李庆余,1993.10-,2573,,,,,,,,
110111,北京市,,房山区,区委书记,17,,单霁翔,1997.08—2000.01,9062,男,汉族,北京市,1954,1985.06,,,
110111,北京市,,房山区,区委书记,17,,杨德宏,-2003.08,16163,,,,,,,,
110111,北京市,,房山区,区委书记,17,,聂玉藻,2003.08-2008.10,13209,男,汉族,觅子店乡后尖平村,1955.1,1984.05,,,
110111,北京市,,房山区,区委书记,17,,刘伟,2008.12-至今,3363,男,汉族,河南漯河,1957.1,1981.04,,,
110112,北京市,,通州区,区长,18,,焦志忠,1997.04-2003.09,2093,男,汉族,北京大兴,1948,1980.09,,,
110112,北京市,,通州区,区长,18,,邓小刚,2003.09-2005.06,9132,男,汉族,湖南桂阳,1967.08,1991.12,,,
110112,北京市,,通州区,区长,18,,邓乃平,2005.07-2010.02,9116,男,汉族,,1962.05,1984.06,,,
110112,北京市,,通州区,区长,18,,岳鹏,2010.03-至今,16798,男,汉族,北京市,1963.03,1990.02,,,
110112,北京市,,通州区,区委书记,17,,赵家骐,1997.04-2000.07,17560,,,北京市,1949.01,1970.06,,,
110112,北京市,,通州区,区委书记,17,,崔君乐,2000.07-2003.09,8995,,,,,,,,
110112,北京市,,通州区,区委书记,17,,梁伟,2003.09-2007.07,11864,男,汉族,河北获鹿,1952.07,1977.09,,,
110112,北京市,,通州区,区委书记,17,,王云峰,2007.08-2014.11,4963,男,汉族,河北阜城,1954.04,1979.03,,,
110112,北京市,,通州区,区委书记,17,,杨斌,2014.11-至今,6658,男,汉族,山东昌邑,1961.12,1985.05,,,
110113,北京市,,顺义区,区长,18,,孙政才,1998.04-2002.02,5639,男,汉族,山东荣成,1963.09,1988.07,,,
110113,北京市,,顺义区,区长,18,,李平,2002.02-2006.10,2542,男,,,,,,,
110113,北京市,,顺义区,区长,18,,张延昆,2006.10-2009.03,7730,男,汉族,河南方城,1963.01,1985.04,,,
110113,北京市,,顺义区,区长,18,,刘剑,2009.03-2010.06,3223,男,汉族,山东平阴,1970.02,1991.01,,,
110113,北京市,,顺义区,区长,18,,王刚,2010.07-2013.03,6019,男,汉族,辽宁锦西,1968.07,,,,
110113,北京市,,顺义区,区长,18,,卢映川,2013.03-至今,3565,男,汉族,安徽阜南,1968.05,1986.07,,,
110113,北京市,,顺义区,区委书记,17,,赵义,1998.03-2002.02,17666,男,汉族,北京顺义,1952.03,1973.1,,,
110113,北京市,,顺义区,区委书记,17,,孙政才,2002.02-2002.11,5639,男,汉族,山东荣成,1963.09,1988.07,,,
110113,北京市,,顺义区,区委书记,17,,夏占义,2002.11-2009.01,15601,男,汉族,北京市顺义区杨镇,1954.12,1974.12,,,
110113,北京市,,顺义区,区委书记,17,,张延昆,2009.03-2013.01,7730,男,汉族,河南方城,1963.01,1985.04,,,
110113,北京市,,顺义区,区委书记,17,,王刚,2013.03-至今,6019,男,汉族,辽宁锦西,1968.07,,,,
110114,北京市,,昌平区,区长,18,,赵凤桐,1999.12-2001.12,7863,男,汉族,辽宁辽阳,1954.12,,,,
110114,北京市,,昌平区,区长,18,,佟根柱,2001.12-2006.04,5802,男,汉族,北京顺义,1952.09,1976.12,,,
110114,北京市,,昌平区,区长,18,,关成华,2006.04-2008.01,1304,男,满族,辽宁建平,1968.08,,,,
110114,北京市,,昌平区,区长,18,,金树东,2008.01-2013.02,10942,男,汉族,北京大兴,1961.03,,,,
110114,北京市,,昌平区,区长,18,,张燕友,2013.02-至今,17342,男,汉族,北京,1963.07,1984.12,,,
110114,北京市,,昌平区,区委书记,17,,赵凤桐,2001.12-2006.03,7863,男,汉族,辽宁辽阳,1954.12,,,,
110114,北京市,,昌平区,区委书记,17,,佟根柱,2006.04-2007.12,5802,男,汉族,北京顺义,1952.09,1976.12,,,
110114,北京市,,昌平区,区委书记,17,,关成华,2007.12-2010.02,1304,男,满族,辽宁建平,1968.08,,,,
110114,北京市,,昌平区,区委书记,17,,侯君舒,2010.02-至今,1598,男,汉族,河南省宁陵县,1963.06,1985.07,,,
110115,北京市,,大兴区,区长,18,,郭普金,2001.01-2003.06,9908,,汉族,北京市大兴县,1953.12,,,,
110115,北京市,,大兴区,区长,18,,王惠民,2003.06-2005.10,5994,男,汉族,,,,,,
110115,北京市,,大兴区,区长,18,,林克庆,2005.10-2008.02,3002,男,汉族,湖北仙桃,1966.1,1990.12,,,
110115,北京市,,大兴区,区长,18,,李长友,2008.03-2013.02,2808,男,汉族,北京顺义,1957.09,1980.06,,,
110115,北京市,,大兴区,区长,18,,谈绪祥,2013.02-至今,14192,男,汉族,安徽芜湖,1966.05,2004.11,,,
110115,北京市,,大兴区,区委书记,17,,牛有成,2001.01-2003.01,13232,男,汉族,北京市,1955.03,1974.12,,,
110115,北京市,,大兴区,区委书记,17,,沈宝昌,2003.01-2008.02,13713,,汉族,河北省顺平,1952.04,1972.06,,,
110115,北京市,,大兴区,区委书记,17,,林克庆,2008.02-2013.01,3002,男,汉族,湖北仙桃,1966.1,1990.12,,,
110115,北京市,,大兴区,区委书记,17,,李长友,2013.02-至今,2808,男,汉族,北京顺义,1957.09,1980.06,,,
110116,北京市,,怀柔区,区长,18,,戴景珠,2001.12-2002.05,9043,,,,,,,,
110116,北京市,,怀柔区,区长,18,,张延昆,2002.05-2006.10,7730,男,汉族,河南方城,1963.01,1985.04,,,
110116,北京市,,怀柔区,区长,18,,池维生,2006.11-2011.02,8942,男,汉族,北京市,1960.08,1981.12,,,
110116,北京市,,怀柔区,区长,18,,齐静,2011.02-2013.03,4131,女,汉族,安徽省无为县,1963.08,,,,
110116,北京市,,怀柔区,区长,18,,常卫,2013.03-至今,8448,男,汉族,河南偃师,1966.09,1985.12,,,
110116,北京市,,怀柔区,区委书记,17,,雷德才,2001.12-2003.08,11104,男,汉族,,1950.09,1974.12,,,
110116,北京市,,怀柔区,区委书记,17,,王海平,2003.08-2011.07,6015,男,汉族,山西省运城地区芮城县,1957.04,,,,
110116,北京市,,怀柔区,区委书记,17,,张建东,2011.07-2013.02,7408,男,汉族,河北乐亭,1962.07,1982.12,,,
110116,北京市,,怀柔区,区委书记,17,,齐静,2013.03-至今,4131,女,汉族,安徽省无为县,1963.08,,,,
110117,北京市,,平谷区,区长,18,,赵克忠,2001.12-2003.01,7911,,,,,,,,
110117,北京市,,平谷区,区长,18,,王云峰,2003.01-2006.05,4963,男,汉族,河北阜城,1954.04,1979.03,,,
110117,北京市,,平谷区,区长,18,,邱水平,2006.06-2010.03,4216,男,汉族,江西南丰,1962.06,1983.04,,,
